Date,Open,High,Low,Close,Adj Close,Volume,股票代碼,公司名稱,產業類別,SMA_20,K,D,B_K,B_D,macd,dif,macd_d,buyOrsell,B_Close,winOrloss,percentage
2022-10-04,102.5,103.0,102.0,102.5,97.77608489990234,17249740,2317,鴻海,其他電子業,105.7,20.568608795554514,17.29657736835274,14.186246526665107,15.660561654751854,-1.8364813167470686,-1.3315298845964307,-1.8588317513922448,1,101.5,-1,-0.00975609756097561
2022-11-30,100.5,101.5,100.0,100.5,95.8682632446289,73098376,2317,鴻海,其他電子業,100.7,25.44148953271991,28.845728374941434,22.644974776153546,30.5478477960522,-0.7243483115503864,-0.8066726026319956,-0.7715545914692683,1,101.0,1,0.004975124378109453
2023-01-09,99.19999694824219,99.5999984741211,98.9000015258789,99.0999984741211,94.53278350830078,33250703,2317,鴻海,其他電子業,100.26499977111817,18.039562730105132,16.4693482925943,11.345080179142075,15.684241073838885,-0.8286872313051958,-0.638297640081002,-0.8586384894714882,1,99.4000015258789,1,0.0030272760482045326
2023-01-31,98.30000305175781,101.0,98.19999694824219,99.69999694824219,95.1051254272461,78717445,2317,鴻海,其他電子業,99.29999923706055,27.711881389806194,22.683769806396167,13.234539614006165,20.169714014691156,-0.6605360523442698,-0.7295731932353594,-0.7954330256807225,1,103.0,1,0.033099329516238216
2023-05-24,102.5,103.0,102.5,103.0,98.25304412841797,15681903,2317,鴻海,其他電子業,103.975,27.443670657367772,23.088740637339296,16.165505986051652,20.911275627325058,-0.3232786264643437,-0.11917035332714014,-0.32401163111548215,1,102.5,-1,-0.0048543689320388345
2023-09-25,105.5,106.0,105.0,105.5,105.5,16313538,2317,鴻海,其他電子業,106.125,20.80495263881068,29.821315267404895,21.207428958216017,34.329496581702,-0.5781771604539614,-0.5543643219575387,-0.584123534412484,1,96.4000015258789,-1,-0.08625590970730894
2023-12-08,101.0,102.0,101.0,101.5,101.5,16070568,2317,鴻海,其他電子業,101.18499984741212,27.050970239332226,25.97817089414653,20.576455358998338,25.441771221553683,0.20510977783332862,0.16188631622990202,0.18453665871861347,1,99.9000015258789,-1,-0.015763531764739838
2020-10-26,72.0999984741211,72.4000015258789,72.0,72.19999694824219,58.48298645019531,4133671,2382,廣達,電腦及週邊設備業,73.53499908447266,28.964273360960267,25.625665977347794,22.858227545995607,23.956362285541555,-1.109167661645543,-0.9869129631066562,-1.1237682756536316,1,72.30000305175781,1,0.0013851261460207
2021-06-11,85.30000305175781,86.4000015258789,85.19999694824219,86.0,69.66117858886719,7604865,2382,廣達,電腦及週邊設備業,87.80500030517578,14.359648268402644,21.25309789141345,12.767537881582966,24.69982270291885,-1.691561691955016,-1.6085867452412952,-1.7201601307258727,1,92.9000015258789,1,0.08023257588231286
2022-04-13,86.80000305175781,87.69999694824219,86.30000305175781,87.69999694824219,75.42536163330078,5423904,2382,廣達,電腦及週邊設備業,89.63500022888184,22.168750021173768,15.834227481211315,8.743350442700294,12.66696621123009,-1.6256657212892662,-1.287874995123676,-1.7439768796906066,1,83.80000305175781,-1,-0.04446971530439198
2022-05-25,75.5999984741211,76.19999694824219,75.0,75.69999694824219,65.10489654541016,5319262,2382,廣達,電腦及週邊設備業,80.42999954223633,13.379985010014218,13.130303461697139,10.546178803843814,13.005462687538598,-3.036059220200741,-2.6017960952322867,-3.090282592762108,1,77.19999694824219,1,0.019815060243999535
2022-10-31,68.0,68.4000015258789,66.80000305175781,68.4000015258789,63.80426025390625,4882737,2382,廣達,電腦及週邊設備業,71.56000022888183,16.57103422434786,12.419352925638696,7.835279921446741,10.343512276284113,-2.4467664163621947,-2.266383572857732,-2.5074032017019476,1,70.19999694824219,1,0.026315721962115148
2023-10-30,204.0,208.0,203.5,206.0,206.0,24897510,2382,廣達,電腦及週邊設備業,224.8,22.72753443014925,18.327485938808085,15.670249013644929,16.1274616931375,-8.576921824900495,-6.621956394940268,-8.666945062389686,1,200.0,-1,-0.02912621359223301
2023-11-30,199.0,203.0,197.0,203.0,203.0,54851553,2382,廣達,電腦及週邊設備業,207.0,28.748693311799926,27.902785656437697,23.89227073693066,27.479831828756584,-3.5689939969959426,-3.3300125601748256,-3.738869610933051,1,201.0,-1,-0.009852216748768473
2020-03-04,138.0,140.0,138.0,140.0,126.66454315185547,2465646,2308,台達電,電子零組件業,142.825,29.907684980778487,27.66746453860845,22.639219961039625,26.547324744243724,-2.4053284677477507,-2.2094469702170767,-2.4758418000991185,1,138.5,-1,-0.010714285714285714
2020-03-20,113.0,118.5,112.0,117.5,106.30775451660156,13619005,2308,台達電,電子零組件業,131.275,17.500433134630704,16.504637631904618,11.544766810387955,16.00673977922689,-7.909316318796954,-6.056227877251073,-7.97728450477058,1,119.0,1,0.01276595744680851
2021-03-11,268.0,283.0,266.0,281.5,262.4274597167969,14670775,2308,台達電,電子零組件業,286.475,28.057476228010454,21.2735206470321,12.86543512123646,17.881542856542925,-3.615014657670031,-0.7231880101082979,-4.106196847664478,1,282.0,1,0.0017761989342806395
2021-08-16,278.0,280.5,275.0,279.0,264.8258361816406,6086921,2308,台達電,電子零組件業,288.825,22.62585908513381,15.399991565415073,11.716566405478495,11.787057805555706,-6.224714670883657,-4.8615869054549545,-6.336407633536737,1,279.0,-1,0.0
2022-04-21,254.0,254.5,251.0,253.0,240.146728515625,3007639,2308,台達電,電子零組件業,258.825,27.182197643299975,23.078723530252763,19.344725036378534,21.026986473729156,-2.7639553771249723,-1.767113881148025,-2.937608337157627,1,245.0,-1,-0.03162055335968379
2022-05-17,226.0,226.0,222.5,225.0,213.56922912597656,4393790,2308,台達電,電子零組件業,237.675,19.154059032132185,17.04465254858226,14.44537426248399,15.989949306807299,-8.563944736618708,-7.170898573742201,-8.747293113199078,1,231.0,1,0.02666666666666667
2022-07-07,215.5,223.5,213.0,221.0,214.77786254882812,7589572,2308,台達電,電子零組件業,226.95,23.533286679633182,28.04686876441932,17.79993001944978,30.30365980681239,-3.788085075173683,-2.4592392898474276,-3.84488757356624,1,286.5,1,0.29638009049773756
2023-09-14,334.5,339.5,333.5,338.0,338.0,5786983,2308,台達電,電子零組件業,343.4,24.913670614987883,24.040090763234726,16.25939481137071,23.603300837358145,-4.793544536486934,-3.824390359317799,-4.989602121299697,1,340.0,1,0.005917159763313609
2023-11-02,290.5,299.5,290.5,298.5,298.5,10026299,2308,台達電,電子零組件業,314.45,20.485519767650818,11.354721032700738,5.728279651476224,6.789321665225696,-11.18594580105497,-9.364046555175166,-11.674293982399718,1,304.0,1,0.018425460636515914
2023-12-22,305.5,308.5,305.0,305.5,305.5,2958062,2308,台達電,電子零組件業,310.375,29.398190276624423,30.174018530679703,27.920814826701342,30.561932657707345,-1.69441002313539,-1.0748214905934286,-1.694659194474184,1,293.5,-1,-0.03927986906710311
2020-05-21,15.0,15.300000190734863,14.949999809265137,15.300000190734863,12.355385780334473,39817856,2303,聯電,半導體業,15.422500085830688,25.05539386680295,28.40673844982808,15.08310033694754,30.082410741340663,0.05028255389630054,0.128929691234145,0.04922761276860399,1,15.199999809265137,-1,-0.006535972563600571
2021-03-12,49.25,50.099998474121094,49.099998474121094,49.099998474121094,41.64310073852539,182568161,2303,聯電,半導體業,52.222500038146975,26.034107835347367,19.873242871583404,19.425002191675706,16.792810389701422,-1.1123490825639877,-0.3032784051491031,-1.1413440677319713,1,48.150001525878906,-1,-0.019348207286460466
2021-05-18,46.25,48.29999923706055,46.0,48.29999923706055,40.964603424072266,279930310,2303,聯電,半導體業,52.87249965667725,27.202517554860567,22.502807157125122,17.261178657237327,20.1529519582574,-1.6949267482384869,-0.637815308858802,-1.7031156429097436,1,48.29999923706055,-1,0.0
2022-01-13,62.099998474121094,63.599998474121094,62.099998474121094,63.29999923706055,55.43230438232422,115790076,2303,聯電,半導體業,63.275000190734865,20.123779300852156,19.75072627238083,9.915402860733835,19.56419975814517,-0.30279099251173847,-0.14504753244018273,-0.36221102567940733,1,47.650001525878906,-1,-0.24723535386741305
2022-07-07,37.849998474121094,40.5,37.25,39.849998474121094,37.15809631347656,169918818,2303,聯電,半導體業,43.95750007629395,19.245757989803774,11.599098032553641,6.917434114067365,7.775768053928576,-3.0034200751526043,-2.501449459894318,-3.140500231612741,1,40.45000076293945,1,0.015056519743859104
2022-09-12,40.0,40.95000076293945,40.0,40.150001525878906,37.43783187866211,68900843,2303,聯電,半導體業,41.10250015258789,27.501433232921386,24.956151630642296,16.252104436368885,23.68351082950275,-0.44311537731697115,-0.2806406442646707,-0.468473934711632,1,40.75,1,0.014943921577048045
2022-10-04,36.29999923706055,37.70000076293945,36.29999923706055,37.70000076293945,35.1533317565918,76720137,2303,聯電,半導體業,38.61500015258789,28.723780347999536,18.319166178307118,9.752321490320357,13.11685909346091,-1.1599776564690245,-0.938021629545776,-1.2745747261863443,1,38.29999923706055,1,0.015915078567078314
2023-01-03,40.45000076293945,41.5,40.25,41.400001525878906,38.6033935546875,34737355,2303,聯電,半導體業,42.67250003814697,23.364572989205197,17.999521937763365,14.357174827979264,15.316996412042451,-0.6713848597059595,-0.37976730644027934,-0.6759690681164372,1,41.25,-1,-0.003623225129234383
2023-05-02,49.5,50.20000076293945,49.25,49.849998474121094,46.48258590698242,31537756,2303,聯電,半導體業,50.96499938964844,26.432149012728342,18.56431412932046,17.365634203390808,14.630396687616523,-0.6924311776767809,-0.42019565751876564,-0.7346201696861314,1,49.95000076293945,1,0.0020060640296764324
2023-05-16,48.45000076293945,49.0,48.45000076293945,48.79999923706055,45.503517150878906,36777132,2303,聯電,半導體業,49.589999771118165,26.520413902234896,33.447087744881074,23.113977734226285,36.910424666204165,-0.6321204011833572,-0.5634502307099032,-0.6353664191431463,1,48.45000076293945,-1,-0.007172099991659258
2023-07-27,45.099998474121094,46.70000076293945,45.04999923706055,46.150001525878906,46.150001525878906,61221132,2303,聯電,半導體業,47.39499988555908,21.668493277503185,19.067414171779618,14.819797201864054,17.766874618917836,-1.2902922418995928,-1.1374581666439498,-1.3476191222362104,1,47.04999923706055,1,0.019501574895440927
2023-08-15,45.150001525878906,45.5,45.04999923706055,45.45000076293945,45.45000076293945,18484617,2303,聯電,半導體業,46.08250007629395,17.83513187965478,24.658875302772298,15.968395827012834,28.07074701433105,-0.8615690513601209,-0.8931312507318722,-0.893294032525219,1,44.349998474121094,-1,-0.02420247019479296
2024-01-15,50.400001525878906,50.79999923706055,50.099998474121094,50.79999923706055,50.79999923706055,30013792,2303,聯電,半導體業,50.76249942779541,22.86754765889925,19.23328901689131,11.224404054464122,17.41615969588734,0.15610766617666627,0.32389066034736863,0.14648791836182085,1,50.29999923706055,-1,-0.009842519832859187
2024-02-15,49.0,49.20000076293945,48.54999923706055,49.20000076293945,49.20000076293945,64345314,2303,聯電,半導體業,49.69749927520752,22.38024198864514,29.110841753763456,18.40180054067035,32.476141636322616,-0.3754544740949797,-0.2132721618094047,-0.39109150567593076,1,49.25,1,0.0010162446399433688
2020-03-25,17.299999237060547,17.799999237060547,17.299999237060547,17.5,14.472555160522461,81773053,2891,中信金,金融保險,20.09749984741211,17.988182791708617,11.359614305765751,7.648930404649186,8.045329862970085,-1.5370004226465106,-1.1545680492611212,-1.5750925828238493,1,17.899999618530273,1,0.02285712105887277
2020-08-06,19.350000381469727,19.450000762939453,19.350000381469727,19.399999618530273,16.850086212158203,20375760,2891,中信金,金融保險,19.69499988555908,22.75669409638321,20.824441303321862,17.468445120330337,19.85831490679119,-0.2610107682196947,-0.2353142551068636,-0.26997896814440736,1,18.299999237060547,-1,-0.056701051706157794
2020-10-19,18.0,18.100000381469727,18.0,18.0,15.634099960327148,19191392,2891,中信金,金融保險,18.16500005722046,19.449122681511085,31.308412841278145,20.082759168178494,37.238057921161676,-0.20823175429056207,-0.2180364574321764,-0.21328625837224635,1,19.549999237060547,1,0.08611106872558594
2021-08-24,21.600000381469727,22.0,21.5,22.0,20.03081512451172,34528870,2891,中信金,金融保險,22.444999980926514,26.28510798057869,23.006738826106996,15.677642897381707,21.367554248871148,-0.3419005025773174,-0.21629298671899033,-0.37305411290763146,1,22.299999237060547,1,0.013636328957297585
2022-03-10,26.350000381469727,26.899999618530273,26.25,26.799999237060547,24.401174545288086,41788050,2891,中信金,金融保險,27.647500133514406,29.060639414367518,30.922071640456693,19.590982009734876,31.85278775350128,-0.30180995034038105,-0.04899901675594992,-0.3073044141977057,1,26.799999237060547,-1,0.0
2022-05-24,25.450000762939453,25.899999618530273,25.399999618530273,25.549999237060547,23.2630615234375,43685165,2891,中信金,金融保險,27.169999885559083,16.573694508745003,13.564425175851722,11.957337788944216,12.059790509405081,-0.9310873803155424,-0.7687916075059823,-0.9417288237895995,1,22.75,-1,-0.109589014507645
2022-09-06,23.350000381469727,23.5,23.25,23.399999618530273,22.505138397216797,19997110,2891,中信金,金融保險,23.829999923706055,29.266366661224804,23.513800516949406,19.986531752602534,20.637517444811706,-0.11330006529385628,-0.03178889122531166,-0.11688532446856215,1,20.600000381469727,-1,-0.11965808900455066
2022-10-14,19.850000381469727,20.0,19.799999237060547,19.799999237060547,19.042808532714844,40398712,2891,中信金,金融保險,20.747500038146974,25.52594466965728,29.877928587669498,29.95562340762034,32.053920546675606,-0.7305313367108717,-0.7367515050008572,-0.7365834459628928,1,22.25,1,0.12373741703755609
2023-02-13,22.350000381469727,22.75,22.299999237060547,22.75,21.879995346069336,23070616,2891,中信金,金融保險,22.739999961853027,29.882313298530832,21.860884728611534,13.573440145445437,17.850170443651887,0.010503303821376875,0.059614385626470784,-0.007834906467330427,1,22.549999237060547,-1,-0.008791242327008928
2023-03-22,21.200000762939453,21.399999618530273,21.149999618530273,21.350000381469727,20.53353500366211,29961440,2891,中信金,金融保險,22.107499885559083,20.069492810109868,13.950696624285994,10.986590506384594,10.891298531374057,-0.40904010391579604,-0.2749831616637447,-0.41771523741983785,1,21.549999237060547,1,0.009367627729150067
2023-08-21,23.600000381469727,23.950000762939453,23.549999237060547,23.850000381469727,23.850000381469727,31392662,2891,中信金,金融保險,25.05,25.890302603147035,19.05767398233124,16.960443970619405,15.641359671923345,-0.49910394906480704,-0.27490157589084435,-0.500111875565036,1,23.700000762939453,-1,-0.006289292080968507
2020-03-25,30.632858276367188,30.83900260925293,30.179344177246094,30.591630935668945,25.888641357421875,25545228,2881,富邦金,金融保險,33.47763328552246,25.603256942827613,18.004539323704684,16.34606163677049,14.205180285072958,-1.9728654028176713,-1.6817493013285856,-2.033757599493491,1,30.75654411315918,1,0.005390793901672972
2020-07-30,35.04431915283203,35.04431915283203,34.46712112426758,34.79694747924805,30.85306167602539,13062367,2881,富邦金,金融保險,35.13914623260498,29.4645170007767,25.917553730448336,20.667387748284515,24.144072095284155,-0.22507841920234029,-0.14136684411090472,-0.23327961363536076,1,33.97237777709961,-1,-0.023696610245487436
2021-11-08,65.75963592529297,66.84806823730469,65.66893768310547,66.75736999511719,61.35661697387695,19530012,2881,富邦金,金融保險,67.22448844909668,26.098158173925754,22.178373033676962,14.147237260888629,20.218480463552563,-0.660112756029136,-0.5517028752433809,-0.7180715427605975,1,66.21315002441406,-1,-0.00815220807444827
2021-12-01,66.3038558959961,67.57369232177734,66.21315002441406,67.21088409423828,61.773441314697266,18163468,2881,富邦金,金融保險,67.05668830871582,23.10178566169408,28.28800155474289,17.986011825874453,30.881109501267293,-0.11368612851984494,-0.08946972267303968,-0.12762388930909196,1,70.2040786743164,1,0.044534372972706064
2022-05-26,54.3310661315918,54.875282287597656,54.058956146240234,54.149658203125,49.76888656616211,33382779,2881,富邦金,金融保險,59.895691108703616,7.733698173838327,6.954420508597714,5.600565765848915,6.5647816759774065,-3.379594339918448,-2.9788964794686,-3.384214221560967,1,52.879817962646484,-1,-0.02345056797431886
2022-10-05,48.095237731933594,48.57142639160156,47.71428680419922,48.19047546386719,47.074954986572266,16861094,2881,富邦金,金融保險,50.143423843383786,17.29975890214699,16.12223686617439,10.432392211210006,15.53347584818809,-1.2999918160346056,-0.9903788238532985,-1.3399147966210165,1,48.28571319580078,1,0.0019762770758508536
2022-10-17,45.9523811340332,46.523807525634766,45.42856979370117,46.380950927734375,45.30731964111328,12640434,2881,富邦金,金融保險,48.57834415435791,22.09027264601245,22.29146478365699,17.983888300378425,22.39206085247926,-1.3654504446340994,-1.2390834360951617,-1.368454065703304,1,53.42856979370117,1,0.15195071953025738
2023-03-22,52.9523811340332,53.61904525756836,52.761905670166016,53.523807525634766,52.28483200073242,16949442,2881,富邦金,金融保險,55.39523715972901,14.179427549306517,12.759578008171651,6.6350033221817535,12.049653237604218,-0.9699731140252865,-0.6053804951970077,-0.9910539395268287,1,53.61904525756836,1,0.0017793527093150176
2020-03-03,71.0,72.9000015258789,71.0,72.5,58.37811279296875,12997366,3711,日月光投控,半導體業,74.9150001525879,21.031349043578487,19.56644271638921,11.883944585232708,18.833960544941828,-1.767101344274863,-1.3874663046577718,-1.795274466306239,1,73.5999984741211,1,0.015172392746497844
2020-03-24,52.099998474121094,55.099998474121094,52.099998474121094,54.29999923706055,43.72319412231445,11769975,3711,日月光投控,半導體業,64.39500045776367,15.029684703743186,12.417074691487851,9.559453806477022,11.110769567220917,-5.992618425604,-4.788612964446543,-6.046362233372307,1,58.900001525878906,1,0.08471459214457576
2020-09-01,61.0,61.5,60.400001525878906,61.29999923706055,50.81211853027344,9568914,3711,日月光投控,半導體業,65.53500080108643,26.86107922235807,22.280086732844563,21.142678346099643,19.98959048808781,-2.468332435290833,-2.0468237315058504,-2.489072137411341,1,105.0,1,0.7128874601440363
2021-10-15,96.0,96.5,94.9000015258789,96.19999694824219,82.4297866821289,22801002,3711,日月光投控,半導體業,107.06999969482422,11.849848110723,8.494054917506931,5.504835813009293,6.816158320898897,-7.120335698143606,-5.933310324729971,-7.27681784009998,1,98.4000015258789,1,0.02286907117908093
